date,location,dayLength,dayLengthSeconds
2020-12-31,"Hong Kong",10:47:28,38848
2020-12-31,"New York",09:19:15,33555
2020-12-31,"Wells, Maine",09:02:28,32548
2020-12-31,"Queenstown, New Zealand",15:33:14,55994
2020-12-31,"Kigali, Rwanda",12:14:08,44048
2020-12-31,"Copenhagen",07:09:02,25742
2020-12-31,"Anchorage, Alaska",05:39:44,20384
2020-12-31,"Cape Town",14:22:06,51726
2021-01-01,"Tromsø, Norway",00:00:00,0
2021-01-01,"Kigali, Rwanda",12:14:06,44046
2021-01-01,"Copenhagen",07:10:30,25830
2021-01-01,"Wells, Maine",09:03:18,32598
2021-01-01,"Los Angeles",09:56:44,35804
2021-01-01,"Hong Kong",10:47:47,38867
2021-01-01,"Queenstown, New Zealand",15:32:21,55941
2021-01-01,"Anchorage, Alaska",05:41:59,20519
2021-01-01,"Torres del Paine, Chile",16:24:48,59088
2021-01-01,"Cape Town",14:21:31,51691
2021-01-01,"New York",09:20:00,33600
2021-01-02,"Torres del Paine, Chile",16:23:27,59007
2021-01-02,"Hong Kong",10:48:08,38888
2021-01-02,"Cape Town",14:20:54,51654
2021-01-02,"Tromsø, Norway",00:00:00,0
2021-01-02,"New York",09:20:49,33649
2021-01-02,"Los Angeles",09:57:22,35842
2021-01-02,"Kigali, Rwanda",12:14:04,44044
2021-01-02,"Queenstown, New Zealand",15:31:24,55884
2021-01-02,"Copenhagen",07:12:06,25926
2021-01-02,"Wells, Maine",09:04:12,32652
2021-01-02,"Anchorage, Alaska",05:44:25,20665
2021-01-03,"Copenhagen",07:13:48,26028
2021-01-03,"Los Angeles",09:58:02,35882
2021-01-03,"Queenstown, New Zealand",15:30:21,55821
2021-01-03,"Wells, Maine",09:05:11,32711
2021-01-03,"Hong Kong",10:48:31,38911
2021-01-03,"Tromsø, Norway",00:00:00,0
2021-01-03,"Cape Town",14:20:13,51613
2021-01-03,"Torres del Paine, Chile",16:22:02,58922
2021-01-03,"Anchorage, Alaska",05:47:00,20820
2021-01-03,"Kigali, Rwanda",12:14:01,44041
2021-01-03,"New York",09:21:41,33701
2021-01-04,"Los Angeles",09:58:46,35926
2021-01-04,"Wells, Maine",09:06:14,32774
2021-01-04,"Kigali, Rwanda",12:13:59,44039
2021-01-04,"Copenhagen",07:15:37,26137
2021-01-04,"Anchorage, Alaska",05:49:46,20986
2021-01-04,"Queenstown, New Zealand",15:29:14,55754
2021-01-04,"Hong Kong",10:48:56,38936
2021-01-04,"Torres del Paine, Chile",16:20:30,58830
2021-01-04,"Cape Town",14:19:29,51569
2021-01-04,"Tromsø, Norway",00:00:00,0
2021-01-04,"New York",09:22:38,33758
2021-01-05,"Los Angeles",09:59:33,35973
2021-01-05,"Copenhagen",07:17:34,26254
2021-01-05,"Wells, Maine",09:07:21,32841
2021-01-05,"Kigali, Rwanda",12:13:56,44036
2021-01-05,"Cape Town",14:18:42,51522
2021-01-05,"Hong Kong",10:49:23,38963
2021-01-05,"Tromsø, Norway",00:00:00,0
2021-01-05,"New York",09:23:38,33818
2021-01-05,"Torres del Paine, Chile",16:18:52,58732
2021-01-05,"Anchorage, Alaska",05:52:41,21161
2021-01-05,"Queenstown, New Zealand",15:28:03,55683
2021-01-06,"Copenhagen",07:19:38,26378
2021-01-06,"Wells, Maine",09:08:31,32911
2021-01-06,"Los Angeles",10:00:21,36021
2021-01-06,"Cape Town",14:17:53,51473
2021-01-06,"Torres del Paine, Chile",16:17:09,58629
2021-01-06,"Anchorage, Alaska",05:55:46,21346
2021-01-06,"Hong Kong",10:49:50,38990
2021-01-06,"Queenstown, New Zealand",15:26:47,55607
2021-01-06,"New York",09:24:42,33882
2021-01-06,"Tromsø, Norway",00:00:00,0
2021-01-06,"Kigali, Rwanda",12:13:54,44034
2021-01-07,"Hong Kong",10:50:20,39020
2021-01-07,"Kigali, Rwanda",12:13:50,44030
2021-01-07,"Copenhagen",07:21:48,26508
2021-01-07,"Wells, Maine",09:09:46,32986
2021-01-07,"Torres del Paine, Chile",16:15:20,58520
2021-01-07,"Los Angeles",10:01:13,36073
2021-01-07,"Queenstown, New Zealand",15:25:26,55526
2021-01-07,"Anchorage, Alaska",05:58:59,21539
2021-01-07,"New York",09:25:49,33949
2021-01-07,"Tromsø, Norway",00:00:00,0
2021-01-07,"Cape Town",14:17:01,51421
2021-01-08,"Queenstown, New Zealand",15:24:02,55442
2021-01-08,"Hong Kong",10:50:52,39052
2021-01-08,"Wells, Maine",09:11:05,33065
2021-01-08,"Cape Town",14:16:06,51366
2021-01-08,"Copenhagen",07:24:05,26645
2021-01-08,"Anchorage, Alaska",06:02:21,21741
2021-01-08,"Tromsø, Norway",00:00:00,0
2021-01-08,"New York",09:26:59,34019
2021-01-08,"Los Angeles",10:02:08,36128
2021-01-08,"Kigali, Rwanda",12:13:48,44028
2021-01-08,"Torres del Paine, Chile",16:13:26,58406
2021-01-09,"Queenstown, New Zealand",15:22:33,55353
2021-01-09,"Kigali, Rwanda",12:13:45,44025
2021-01-09,"Cape Town",14:15:09,51309
2021-01-09,"Tromsø, Norway",00:00:00,0
2021-01-09,"New York",09:28:14,34094
2021-01-09,"Anchorage, Alaska",06:05:52,21952
2021-01-09,"Los Angeles",10:03:05,36185
2021-01-09,"Hong Kong",10:51:24,39084
2021-01-09,"Torres del Paine, Chile",16:11:26,58286
2021-01-09,"Wells, Maine",09:12:27,33147
2021-01-09,"Copenhagen",07:26:27,26787
2021-01-10,"Anchorage, Alaska",06:09:29,22169
2021-01-10,"Hong Kong",10:51:58,39118
2021-01-10,"Los Angeles",10:04:04,36244
2021-01-10,"Cape Town",14:14:08,51248
2021-01-10,"Kigali, Rwanda",12:13:41,44021
2021-01-10,"Wells, Maine",09:13:53,33233
2021-01-10,"Torres del Paine, Chile",16:09:22,58162
2021-01-10,"New York",09:29:32,34172
2021-01-10,"Tromsø, Norway",00:00:00,0
2021-01-10,"Copenhagen",07:28:57,26937
2021-01-10,"Queenstown, New Zealand",15:21:01,55261
2021-01-11,"Queenstown, New Zealand",15:19:23,55163
2021-01-11,"Kigali, Rwanda",12:13:38,44018
2021-01-11,"Copenhagen",07:31:32,27092
2021-01-11,"Wells, Maine",09:15:22,33322
2021-01-11,"Hong Kong",10:52:35,39155
2021-01-11,"Tromsø, Norway",00:00:00,0
2021-01-11,"Cape Town",14:13:05,51185
2021-01-11,"Los Angeles",10:05:07,36307
2021-01-11,"New York",09:30:52,34252
2021-01-11,"Torres del Paine, Chile",16:07:11,58031
2021-01-11,"Anchorage, Alaska",06:13:15,22395
2021-01-12,"Torres del Paine, Chile",16:04:57,57897
2021-01-12,"Hong Kong",10:53:13,39193
2021-01-12,"Cape Town",14:12:00,51120
2021-01-12,"Anchorage, Alaska",06:17:09,22629
2021-01-12,"Kigali, Rwanda",12:13:34,44014
2021-01-12,"Copenhagen",07:34:13,27253
2021-01-12,"Los Angeles",10:06:11,36371
2021-01-12,"Queenstown, New Zealand",15:17:42,55062
2021-01-12,"New York",09:32:16,34336
2021-01-12,"Tromsø, Norway",00:00:00,0
2021-01-12,"Wells, Maine",09:16:55,33415
2021-01-13,"New York",09:33:44,34424
2021-01-13,"Queenstown, New Zealand",15:15:57,54957
2021-01-13,"Kigali, Rwanda",12:13:30,44010
2021-01-13,"Hong Kong",10:53:51,39231
2021-01-13,"Copenhagen",07:37:00,27420
2021-01-13,"Anchorage, Alaska",06:21:08,22868
2021-01-13,"Tromsø, Norway",00:00:00,0
2021-01-13,"Wells, Maine",09:18:32,33512
2021-01-13,"Cape Town",14:10:52,51052
2021-01-13,"Torres del Paine, Chile",16:02:38,57758
2021-01-13,"Los Angeles",10:07:19,36439
2021-01-14,"Los Angeles",10:08:28,36508
2021-01-14,"Kigali, Rwanda",12:13:26,44006
2021-01-14,"Wells, Maine",09:20:12,33612
2021-01-14,"Hong Kong",10:54:31,39271
2021-01-14,"Tromsø, Norway",00:41:44,2504
2021-01-14,"Queenstown, New Zealand",15:14:09,54849
2021-01-14,"Copenhagen",07:39:53,27593
2021-01-14,"New York",09:35:13,34513
2021-01-14,"Cape Town",14:09:41,50981
2021-01-14,"Anchorage, Alaska",06:25:15,23115
2021-01-14,"Torres del Paine, Chile",16:00:13,57613
2021-01-15,"Los Angeles",10:09:40,36580
2021-01-15,"Hong Kong",10:55:13,39313
2021-01-15,"Copenhagen",07:42:49,27769
2021-01-15,"Wells, Maine",09:21:56,33716
2021-01-15,"New York",09:36:46,34606
2021-01-15,"Torres del Paine, Chile",15:57:45,57465
2021-01-15,"Queenstown, New Zealand",15:12:16,54736
